question,answer,text
,Michio Sugeno, Michio Sugeno
,Annick Bricaud, Annick Bricaud
,Radcliffe College, Radcliffe College
,Adolf Anderssen, Adolf Anderssen
,Poet Henrich Heine., Poet Henrich Heine.
,"120,000"," 120,000"
,January 2008, January 2008
,Fakhruddin Ali Ahmed, Fakhruddin Ali Ahmed
,Jóhanna Sigurðardóttir, Jóhanna Sigurðardóttir
,Hasnain Masoodi, Hasnain Masoodi
,13, 13
,2002, 2002
,1999, 1999
,2023, 2023
,The Coast Guard, The Coast Guard
,Lucy in the Field with Flowers, Lucy in the Field with Flowers
,Manuel Ordas, Manuel Ordas
,Peters, Peters
,King cobra, King cobra
, Quebec Youth Parliament prime minister,  Quebec Youth Parliament prime minister
,Bruce W. Hapke, Bruce W. Hapke
,CodeMiko, CodeMiko
,"You cannot live your life in fear, or you will forsake the best parts of it."," You cannot live your life in fear, or you will forsake the best parts of it."
,KVOS-TV, KVOS-TV
,Violin, Violin
,"August 30, 2022"," August 30, 2022"
,200.00, 200.00
,Bastion of Unborn Souls, Bastion of Unborn Souls
,"Season 4 Episode 12: ""Trapper Keeper"""," Season 4 Episode 12: ""Trapper Keeper"""
,tramp, tramp
,Pulwama, Pulwama
,150, 150
,"October 23, 2018"," October 23, 2018"
,Ramón Barea, Ramón Barea
,"June 24, 1957"," June 24, 1957"
,Birmingham High School, Birmingham High School
,June 2019, June 2019
,Akiko Kumahira, Akiko Kumahira
,Katharina Müller and Tim Dieck, Katharina Müller and Tim Dieck
,Gvulot., Gvulot.
,Edward Teller, Edward Teller
,"To avenge the murder of his former fiancée, Carmen Mesta."," To avenge the murder of his former fiancée, Carmen Mesta."
,"Season 2, Episode 9 ""Placebo Effect"""," Season 2, Episode 9 ""Placebo Effect"""
,"June 24th, 1896."," June 24th, 1896."
,350, 350
,1827, 1827
,5 September 2005, 5 September 2005
,Alabama State University, Alabama State University
,Alfred Bryan, Alfred Bryan
,1938, 1938
,"July 24, 1995"," July 24, 1995"
,2004., 2004.
, April 2,  April 2
,36., 36.
,1975, 1975
,"13° 15' 4.38"" S, 34° 18' 5.50"" E."," 13° 15' 4.38"" S, 34° 18' 5.50"" E."
,"January 8, 2019"," January 8, 2019"
,Gusevsky Municipal District, Gusevsky Municipal District
,Max Planck Institute for Evolutionary Anthropology and Philipps-Universität Marburg, Max Planck Institute for Evolutionary Anthropology and Philipps-Universität Marburg
,Norberto Raffo, Norberto Raffo
,11 December 1967., 11 December 1967.
,Marjorie and James Sanger Center for the Sciences., Marjorie and James Sanger Center for the Sciences.
,Fedele Acciai, Fedele Acciai
,Dmitri Skobeltsyn, Dmitri Skobeltsyn
,1998, 1998
,Langmuir Irving, Langmuir Irving
,Frank Jacobsson, Frank Jacobsson
,Frankfurter Engel, Frankfurter Engel
,Leeds United, Leeds United
,15th place, 15th place
,1800, 1800
,"Kelton ""LDB"" Kessee"," Kelton ""LDB"" Kessee"
,7, 7
,390 metres, 390 metres
,168, 168
,102510, 102510
,Nainital district, Nainital district
,Duke University, Duke University
,two medals., two medals.
,Starr Andrews, Starr Andrews
,Girolamo Stampa da Montepulciano, Girolamo Stampa da Montepulciano
," Fried, Frank, Harris, Shriver & Jacobson","  Fried, Frank, Harris, Shriver & Jacobson"
,1830, 1830
,172., 172.
,April 2020, April 2020
,3, 3
,William J. Page and Shailaja Shivprasad , William J. Page and Shailaja Shivprasad 
,Rosalba Carriera, Rosalba Carriera
,11 November 1903, 11 November 1903
,6.88b, 6.88b
,October 2012, October 2012
,"26,364.02"," 26,364.02"
,1926, 1926
,"November 25, 2018"," November 25, 2018"
,"10,990,502"," 10,990,502"
,Jonathan M. McConnachie, Jonathan M. McConnachie
,multiple sclerosis diagnosis, multiple sclerosis diagnosis
,"June 28, 2020"," June 28, 2020"
,Far Ranging Integrated Defense Aeormaton, Far Ranging Integrated Defense Aeormaton
,April 1998, April 1998
,"José Luis Delpini, Viktor Sulčič and Raúl Bes"," José Luis Delpini, Viktor Sulčič and Raúl Bes"
,Davenport., Davenport.
,"19 May, 2023"," 19 May, 2023"
,28 years old., 28 years old.
,211, 211
,Rosenberg., Rosenberg.
,Ileana Streinu, Ileana Streinu
,"March 15, 2013"," March 15, 2013"
,The Intersections International Award, The Intersections International Award
,Mahmud Hasan Deobandi., Mahmud Hasan Deobandi.
,Milan, Milan
,1 October 1963, 1 October 1963
,7 June 2018, 7 June 2018
,1.1, 1.1
,Harvard University, Harvard University
,"2,845 mm"," 2,845 mm"
,4953153, 4953153
,1942, 1942
,20 March 2007, 20 March 2007
,"November 1, 2018"," November 1, 2018"
,Matt and Marcus, Matt and Marcus
,29 July 1931, 29 July 1931
,1757, 1757
,New English School, New English School
,March 2018, March 2018
,2, 2
,22, 22
,1953, 1953
,University System of Maryland Board of Regents., University System of Maryland Board of Regents.
,Esonica Veira, Esonica Veira
,Salvador Dali's mother died on 6 February 1921., Salvador Dali's mother died on 6 February 1921.
," Sonipat, Ghaziabad, Hisar","  Sonipat, Ghaziabad, Hisar"
,September 1813, September 1813
,physics, physics
,3, 3
,Edward Robinson, Edward Robinson
,Ben Eckerson, Ben Eckerson
,12, 12
,1969, 1969
,Deccan College, Deccan College
,gubba nub nub doo rah kah, gubba nub nub doo rah kah
,George Frideric Handel, George Frideric Handel
,Mumtaz Mahal, Mumtaz Mahal
,Instant Calm, Instant Calm
,Soreng, Soreng
,John Cundall, John Cundall
,"June 20, 1973"," June 20, 1973"
,2004-2008, 2004-2008
,tender-age shelter, tender-age shelter
,National Liberal Party, National Liberal Party
,3, 3
, boko boko,  boko boko
,Various Conditions, Various Conditions
,2003, 2003
,Laura Carstensen, Laura Carstensen
,Emma Perry Carr, Emma Perry Carr
,Mathematical Sciences and Economics , Mathematical Sciences and Economics 
,"Season 1, Episode 9: Mr. Hankey, the Christmas Poo"," Season 1, Episode 9: Mr. Hankey, the Christmas Poo"
,15, 15
,14 February 1566, 14 February 1566
,3, 3
, Eugene Schuyler,  Eugene Schuyler
,Bronze Prize, Bronze Prize
,1863, 1863
,Eagle, Eagle
,10.1515/zfs-2021-2039, 10.1515/zfs-2021-2039
,"Peter West, Michael Aspel"," Peter West, Michael Aspel"
,5 February 2011, 5 February 2011
,1 June 2018, 1 June 2018
,1936, 1936
,30 June 1949, 30 June 1949
,2023., 2023.
,"Mita died suddenly on 31 May 2010, after collapsing outside the studios of Māori Television."," Mita died suddenly on 31 May 2010, after collapsing outside the studios of Māori Television."
,"4,653 °F"," 4,653 °F"
, 1989,  1989
,"Episode 4: ""Idiots Only Event ~Kin~"""," Episode 4: ""Idiots Only Event ~Kin~"""
,1979, 1979
,The public, The public
,Grigor Sargsyan, Grigor Sargsyan
,Berlin Zoological Gardens, Berlin Zoological Gardens
,370, 370
,"Kallithea, Athens"," Kallithea, Athens"
,Season 1 episode 3, Season 1 episode 3
,5 November 1966., 5 November 1966.
,Dr Upendra Kaul, Dr Upendra Kaul
,2013, 2013
,22 June 1880., 22 June 1880.
,"Episode 5, ""Rattlestar Ricklactica"""," Episode 5, ""Rattlestar Ricklactica"""
,21 September 1950., 21 September 1950.
,Blackwall, Blackwall
,Dr. Elizabeth Dennis, Dr. Elizabeth Dennis
,Wormwood, Wormwood
,1957, 1957
,Io, Io
,"JULY 2, 2016"," JULY 2, 2016"
,"September 1, 2023"," September 1, 2023"
,1537, 1537
,"October 11, 2008"," October 11, 2008"
,24 October 2011, 24 October 2011
,1926., 1926.
,1949, 1949
,Jan van Riebeeck High School, Jan van Riebeeck High School
,Farshad Mahdavinejad, Farshad Mahdavinejad
,2 Nov 2020, 2 Nov 2020
,Infinite Crisis #1, Infinite Crisis #1
,S2 E2, S2 E2
,1972, 1972
,4, 4
, 1 June 1966,  1 June 1966
,"January 20, 1974"," January 20, 1974"
,23 September 2020, 23 September 2020
,"November 25, 2001"," November 25, 2001"
,Annular solar eclipse, Annular solar eclipse
,KTVU, KTVU
,"semantic maps, inference, graph, emotions"," semantic maps, inference, graph, emotions"
,18 May 1926, 18 May 1926
,1 January 2012 , 1 January 2012 
,Assistant, Assistant
,Sir Abraham Dawes, Sir Abraham Dawes
,"10 February, 1135"," 10 February, 1135"
,"May 4, 1829"," May 4, 1829"
,2005, 2005
,Romain Poite, Romain Poite
,18, 18
,The New Face Prize, The New Face Prize
,Javier Olguín, Javier Olguín
,1962-1965, 1962-1965
,"Season 3 Episode 4 ""Remedial Chaos Theory"""," Season 3 Episode 4 ""Remedial Chaos Theory"""
,"97,686"," 97,686"
,1, 1
,"MLP, CNN, LSTM, and GRU."," MLP, CNN, LSTM, and GRU."
,Kanaloa, Kanaloa
,1903 to 1904, 1903 to 1904
,The Automobile Club de France, The Automobile Club de France
,2006, 2006
,12, 12
,"""Stronger"" by Britney Spears"," ""Stronger"" by Britney Spears"
,3437 Kapitsa, 3437 Kapitsa
,1982, 1982
,Judea Pearl, Judea Pearl
,Satpura Range, Satpura Range
,1930, 1930
,170th, 170th
,20 October 1956 , 20 October 1956 
,Pamela Milton's uncle, Pamela Milton's uncle
,Ray Jackendoff, Ray Jackendoff
,John Constable, John Constable
,Makena, Makena
,1787, 1787
,Angelos Triantafyllou, Angelos Triantafyllou
,1 January 2016, 1 January 2016
,"January 21, 1994"," January 21, 1994"
,Belgian, Belgian
,1904, 1904
,25, 25
,2014, 2014
,1977, 1977
,2013, 2013
,Mark A. Nook, Mark A. Nook
,Dr. Kalam, Dr. Kalam
,"February 24, 2022"," February 24, 2022"
,Andrea Borella, Andrea Borella
,775, 775
,Humansdorp, Humansdorp
,4 September 2004, 4 September 2004
,Ted Cruz., Ted Cruz.
,2021, 2021
,Justin Fication, Justin Fication
,John Wesley Fletcher., John Wesley Fletcher.
,Budshah Bridge, Budshah Bridge
,Warrior, Warrior
,Robert Townsend, Robert Townsend
,Jawaharlal Nehru University, Jawaharlal Nehru University
,Arrhenius, Arrhenius
,Linus Pauling, Linus Pauling
,1985 and 1987, 1985 and 1987
,14, 14
,Paris, Paris
,insurrection, insurrection
,Exercising Machine, Exercising Machine
,533 km/h, 533 km/h
,Eat Me, Eat Me
,Marissa Jaret Winokur, Marissa Jaret Winokur
,Iceland, Iceland
,1938, 1938
,The right arm, The right arm
,27 August, 27 August
,"Igbo Isaiah, Igbo Richard, and Igbo Jonah"," Igbo Isaiah, Igbo Richard, and Igbo Jonah"
,1962, 1962
,Jonathan Van Ness, Jonathan Van Ness
,1994, 1994
,Tenor trombone and piano, Tenor trombone and piano
,hospital volunteer, hospital volunteer
,1914, 1914
,15, 15
,Robert H. Dicke., Robert H. Dicke.
,University of Massachusetts Amherst, University of Massachusetts Amherst
,Deidre Lang, Deidre Lang
,"""The Last Sunset"""," ""The Last Sunset"""
,Pacific Ocean, Pacific Ocean
,1982, 1982
,2003, 2003
,Islington, Islington
,Feb 2010, Feb 2010
,Johann N. Meyer, Johann N. Meyer
,2016, 2016
,17.48 km, 17.48 km
,"We Speak: Black Artists in Philadelphia, 1920s-1970s"," We Speak: Black Artists in Philadelphia, 1920s-1970s"
,Oliver Purnell, Oliver Purnell
,In a flowerbed, In a flowerbed
,Zenzontepec Chatino, Zenzontepec Chatino
,Frank Harold Spedding, Frank Harold Spedding
,"""Whirlwinds of Danger"""," ""Whirlwinds of Danger"""
,Yaama Mosque, Yaama Mosque
,Morgan Hebard, Morgan Hebard
,the Slade School of Art , the Slade School of Art 
,Carlo Balboni, Carlo Balboni
,Ternopil, Ternopil
,Zanele Muholi: Only Half The Picture, Zanele Muholi: Only Half The Picture
,Baron Vadim Nikolayevich von Root, Baron Vadim Nikolayevich von Root
,9 June 2023, 9 June 2023
,The Salon Champs de Mars, The Salon Champs de Mars
,Ian Newton, Ian Newton
,10, 10
,"$2,300"," $2,300"
,Mask, Mask
,August 2020, August 2020
, 1810 to 1825,  1810 to 1825
,"23 September, 2021 to 20 February, 2022"," 23 September, 2021 to 20 February, 2022"
,25.363, 25.363
,J. L. Ruiz Basadre, J. L. Ruiz Basadre
,Tanzan Ishibashi, Tanzan Ishibashi
,2 silver medals, 2 silver medals
,A.M. Donnelly., A.M. Donnelly.
,Leon Mestel, Leon Mestel
,"Season 2, Episode 2 ""Invasion"""," Season 2, Episode 2 ""Invasion"""
,Pirro Ligorio, Pirro Ligorio
,Travis Barker, Travis Barker
,"June 11, 1993"," June 11, 1993"
,"April 15, 2011"," April 15, 2011"
,"November 7, 2008."," November 7, 2008."
,college student, college student
,30 years. , 30 years. 
,Rexho Mulliqi, Rexho Mulliqi
,April 2022, April 2022
,La nena , La nena 
,The Catapult, The Catapult
,$155 million, $155 million
,March 2011, March 2011
,20, 20
,Gail Atchison, Gail Atchison
,Narendra Karmarkar, Narendra Karmarkar
,Google, Google
,1967, 1967
,"Wednesday, August 23, 2023"," Wednesday, August 23, 2023"
,8 Nov 2004, 8 Nov 2004
,1975, 1975
,2004, 2004
,1877, 1877
,100 ducats, 100 ducats
,National Snaffle Bit Association, National Snaffle Bit Association
,Lhotskya acutifolia, Lhotskya acutifolia
,16 January 1992., 16 January 1992.
,1972, 1972
,Daniel Ezralow, Daniel Ezralow
,March 2001, March 2001
,1933, 1933
,Brian T. Burgess, Brian T. Burgess
,February 1989, February 1989
,Iltija Mufti, Iltija Mufti
," 11 May, 1800","  11 May, 1800"
,1998, 1998
, Helen Hayes,  Helen Hayes
,26 of December of 2021, 26 of December of 2021
,Alexei Kosygin, Alexei Kosygin
,2021., 2021.
,21 October 1978, 21 October 1978
,Paola Severino, Paola Severino
,Tawia Adamafio, Tawia Adamafio
,15 August 2007, 15 August 2007
,Phi Phi O'Hara, Phi Phi O'Hara
,19.1 billion dollars., 19.1 billion dollars.
,1.13, 1.13
,1858, 1858
,2016, 2016
,Nigel Llong, Nigel Llong
,the first digits , the first digits 
,1964, 1964
,1979, 1979
,Bizarro, Bizarro
,Dr. A. W. Khan, Dr. A. W. Khan
,17 November 2020., 17 November 2020.
,Hasan Ali Khan and Brahmdev Sisodia., Hasan Ali Khan and Brahmdev Sisodia.
,57th place, 57th place
,Vicenza., Vicenza.
,University of Georgia and University of Alabama, University of Georgia and University of Alabama
,Wilhelm Fabricius von Hilden., Wilhelm Fabricius von Hilden.
,Nuwakot, Nuwakot
,1200 nits, 1200 nits
,Bangermau, Bangermau
,Samit Dasgupta, Samit Dasgupta
,"June 29th, 2022"," June 29th, 2022"
,executive in charge of production, executive in charge of production
,O. V. Catto Elks Lodge, O. V. Catto Elks Lodge
,79/km2 , 79/km2 
,International Sport Kickboxing Association (ISKA), International Sport Kickboxing Association (ISKA)
,24, 24
,1571, 1571
,1821, 1821
,Joseph Jean Pierre Laurent, Joseph Jean Pierre Laurent
,22 January 1988, 22 January 1988
,Jesus, Jesus
,Vicente Ferrer del Río de Loza, Vicente Ferrer del Río de Loza
,"May 22, 1962"," May 22, 1962"
,"Annie Awards, Storyboarding in an Animated Television Production"," Annie Awards, Storyboarding in an Animated Television Production"
,North, North
,"""Hey Ya!"" by Outkast"," ""Hey Ya!"" by Outkast"
,98.4 million, 98.4 million
,Anita Sandoval, Anita Sandoval
,"""Visual Sexuality: Only Half the Picture"""," ""Visual Sexuality: Only Half the Picture"""
,"September 24, 2008"," September 24, 2008"
,September 2019, September 2019
,2015, 2015
,2, 2
,1940, 1940
,October 2008, October 2008
,480 x 800, 480 x 800
,Kazakh Soviet Socialist Republic, Kazakh Soviet Socialist Republic
,9-11, 9-11
,1 & 50, 1 & 50
,1948., 1948.
,Michelangelo Buonarroti, Michelangelo Buonarroti
,10, 10
,"Twice, first to Marguerite and then to Juliet."," Twice, first to Marguerite and then to Juliet."
,26 June 1927, 26 June 1927
,Architect, Architect
,1958-1971, 1958-1971
,June 2010, June 2010
, O'Reilly,  O'Reilly
,Hans Nieland, Hans Nieland
,8 May 1972, 8 May 1972
,1.47, 1.47
,Phantom Tracks, Phantom Tracks
,Karen Fobbs, Karen Fobbs
,O- blood type., O- blood type.
,1886, 1886
,Hokkaido University, Hokkaido University
,Pluto, Pluto
,1837 to 1839, 1837 to 1839
,2 October 1977, 2 October 1977
, American Academy of Arts and Science.,  American Academy of Arts and Science.
,Masaki Iizuka, Masaki Iizuka
,Népszava, Népszava
,49, 49
,"Anna Negri, Nina Negri"," Anna Negri, Nina Negri"
,Edme-Sébastien Jeaurat, Edme-Sébastien Jeaurat
,David J. Bottjer, David J. Bottjer
,EPOCHTODATE, EPOCHTODATE
