question,answer,text
,"120,000 euros"," 120,000 euros"
,Jóhanna Sigurðardóttir, Jóhanna Sigurðardóttir
,Hasnain Masoodi, Hasnain Masoodi
,2023, 2023
,The Coast Guard, The Coast Guard
,Lucy in the Field with Flowers, Lucy in the Field with Flowers
,KVOS-TV, KVOS-TV
,tramp steamer (or collier), tramp steamer (or collier)
,150 (acceptable range: anything between 148 and 152), 150 (acceptable range: anything between 148 and 152)
,"Oct 23, 2018"," Oct 23, 2018"
,June 2019, June 2019
,Akiko Kumahira, Akiko Kumahira
,Gvulot., Gvulot.
,"June 24, 1896"," June 24, 1896"
,"July 24, 1995"," July 24, 1995"
,33.7738 (acceptable range: anything between 33.7586 and 33.8022), 33.7738 (acceptable range: anything between 33.7586 and 33.8022)
,Norberto Raffo, Norberto Raffo
,Marjorie and James Sanger Center for the Sciences., Marjorie and James Sanger Center for the Sciences.
,Frank Jacobsson, Frank Jacobsson
,15th place, 15th place
,"Kelton ""LDB"" Kessee"," Kelton ""LDB"" Kessee"
,390 metres (acceptable range: anything between 386 and 394 metres), 390 metres (acceptable range: anything between 386 and 394 metres)
,168 acres (acceptable range: anything between 166 and 170 acres), 168 acres (acceptable range: anything between 166 and 170 acres)
,102510, 102510
,Nainital district, Nainital district
,Starr Andrews, Starr Andrews
," Fried, Frank, Harris, Shriver & Jacobson","  Fried, Frank, Harris, Shriver & Jacobson"
,172 (acceptable range: anything between 170 and 174), 172 (acceptable range: anything between 170 and 174)
,"10,990,502 (acceptable range: anything between 10,440,976 and 11,540,028)"," 10,990,502 (acceptable range: anything between 10,440,976 and 11,540,028)"
,"June 28, 2020"," June 28, 2020"
,211 (acceptable range: anything between 208 and 214), 211 (acceptable range: anything between 208 and 214)
,Mahmud Hasan Deobandi., Mahmud Hasan Deobandi.
,563, 563
,3, 3
,George Frideric Handel, George Frideric Handel
,Soreng, Soreng
,3, 3
,boko boko, boko boko
,15, 15
,Eugene Schuyler, Eugene Schuyler
,Bronze Prize, Bronze Prize
,Eagle, Eagle
,Berlin Zoological Gardens, Berlin Zoological Gardens
,370 (acceptable range: anything between 366 and 374), 370 (acceptable range: anything between 366 and 374)
,2013, 2013
,1949, 1949
,Farshad Mahdavinejad, Farshad Mahdavinejad
,Infinite Crisis #1, Infinite Crisis #1
,KTVU, KTVU
,Assistant, Assistant
,Sir Abraham Dawes, Sir Abraham Dawes
,"10 February, 1135"," 10 February, 1135"
,The New Face Prize, The New Face Prize
,Kanaloa, Kanaloa
,"""Stronger"" by Britney Spears"," ""Stronger"" by Britney Spears"
,3437 Kapitsa, 3437 Kapitsa
,Satpura Range, Satpura Range
,Makena, Makena
,Belgian, Belgian
,25, 25
,Andrea Borella, Andrea Borella
,775 (acceptable range: anything between 767 and 783), 775 (acceptable range: anything between 767 and 783)
,2021, 2021
,14, 14
,Paris, Paris
,Exercising Machine, Exercising Machine
,Eat Me, Eat Me
,Iceland, Iceland
,The right arm, The right arm
,Tenor trombone and piano, Tenor trombone and piano
,University of Massachusetts Amherst, University of Massachusetts Amherst
,Deidre Lang, Deidre Lang
,Pacific Ocean, Pacific Ocean
,Islington, Islington
,Oliver Purnell, Oliver Purnell
,Carlo Balboni, Carlo Balboni
,Baron Vadim Nikolayevich von Root, Baron Vadim Nikolayevich von Root
,10, 10
,Mask, Mask
,J. L. Ruiz Basadre, J. L. Ruiz Basadre
,A.M. Donnelly., A.M. Donnelly.
,Pirro Ligorio, Pirro Ligorio
,Travis Barker, Travis Barker
,30 years., 30 years.
,The Catapult, The Catapult
,1967, 1967
,1975, 1975
,National Snaffle Bit Association, National Snaffle Bit Association
,Lhotskya acutifolia, Lhotskya acutifolia
,March 2001, March 2001
,1933, 1933
,Tawia Adamafio, Tawia Adamafio
,the first digits, the first digits
,Vicenza., Vicenza.
